,name,company,year,price,kms_driven,fuel_type
169,Hyundai Tucson GLS,Hyundai,7,1925000.0,75400,Diesel
170,Maruti Suzuki Swift,Maruti,8,475000.0,84996,Diesel
171,Maruti Suzuki Swift,Maruti,9,459999.99999999994,74767,Petrol
172,Honda Amaze 1.2,Honda,11,342000.0,63956,Petrol
173,Maruti Suzuki Wagon,Maruti,7,450000.0,48000,ecofriendly_fuel
174,Renault Duster 85,Renault,10,685000.0,48330,Diesel
175,Maruti Suzuki Alto,Maruti,10,210000.0,93150,Petrol
176,BMW X3 xDrive,BMW,8,4100000.0,69499,Diesel
177,Mahindra TUV300 T8,Mahindra,8,545000.0,75000,Diesel
178,Kia Carnival Prestige,Kia,3,3499000.0,13748,Diesel
179,Maruti Suzuki Ciaz,Maruti,5,1075000.0,30672,Petrol
180,Jeep Compass Limited,Jeep,5,1798999.9999999998,64683,Diesel
181,Maruti Suzuki Baleno,Maruti,5,711000.0,69886,Petrol
182,Audi Q5 2.0,Audi,10,2150000.0,34000,Diesel
183,Hyundai Creta SX,Hyundai,5,1149000.0,62137,Petrol
184,Maruti Suzuki Baleno,Maruti,8,524000.0,56800,Petrol
185,Hyundai Xcent S,Hyundai,9,475000.0,42382,Petrol
186,Maruti Suzuki Wagon,Maruti,6,390000.0,66794,Petrol
187,Honda City V,Honda,4,1150000.0,19600,Petrol
188,Mercedes-Benz S-Class 350,Mercedes-Benz,13,1900000.0,85489,Diesel
189,Renault Triber RXZ,Renault,4,750000.0,19784,Petrol
190,Honda City ZX,Honda,4,1285000.0,19238,Petrol
191,Maruti Suzuki Swift,Maruti,11,420000.0,78518,Petrol
192,Hyundai Creta E,Hyundai,7,855000.0000000001,54104,Petrol
193,Renault Duster 85,Renault,6,899000.0,55300,Diesel
194,Renault Kwid 1.0,Renault,6,348000.0,40397,Petrol
195,Mahindra XUV500 W8,Mahindra,9,811000.0,87527,Diesel
196,Toyota Glanza V,Toyota,5,675000.0,63000,Petrol
197,Maruti Suzuki Swift,Maruti,8,567000.0,83647,Diesel
198,Isuzu MU-X 4x2,Isuzu,6,2100000.0,75592,Diesel
199,Renault Duster 85,Renault,12,475000.0,57660,Diesel
200,Honda Amaze 1.2,Honda,6,685000.0,42277,Petrol
201,Maruti Suzuki S-Presso,Maruti,2,525000.0,2600,Petrol
202,Volvo XC90 D5,Volvo,10,2257000.0,51000,Diesel
203,Hyundai Grand i10,Hyundai,7,575000.0,19630,Petrol
204,Honda City VX,Honda,8,745000.0,42218,Petrol
205,Toyota Glanza G,Toyota,5,708000.0,69553,Petrol
206,Maruti Suzuki Alto,Maruti,7,338000.0,48448,Petrol
207,Tata Tiago Revotron,Tata,5,484000.0,60167,Petrol
208,Honda City 1.5,Honda,12,395000.0,61000,Petrol
209,Hyundai Grand i10,Hyundai,9,434000.0,26282,Petrol
210,Mercedes-Benz E-Class E,Mercedes-Benz,5,6175000.0,19070,Diesel
211,Audi A4 3.0,Audi,6,3200000.0,67262,Diesel
212,Maruti Suzuki Ciaz,Maruti,4,872000.0000000001,5814,Petrol
213,Skoda Rapid Ultima,Skoda,7,650000.0,76810,Diesel
214,Honda Amaze 1.5,Honda,9,495000.0,63587,Diesel
215,Kia Seltos GTX,Kia,5,1525000.0,28000,Petrol
216,Honda Amaze 1.5,Honda,10,499000.0,42637,Diesel
217,Maruti Suzuki Wagon,Maruti,7,432000.0,52775,Petrol
218,Maruti Suzuki Ciaz,Maruti,5,850000.0,21809,Petrol
219,Volkswagen Vento Highline,Volkswagen,8,725000.0,45689,Petrol
220,Maruti Suzuki Celerio,Maruti,7,433000.0,34251,Petrol
221,Maruti Suzuki Ertiga,Maruti,8,720000.0,55000,ecofriendly_fuel
222,Skoda Rapid Ambition,Skoda,6,925000.0,95004,Diesel
223,Tata Harrier XZ,Tata,5,1695000.0,20856,Diesel
224,Maruti Suzuki Dzire,Maruti,4,875000.0,11800,Petrol
225,Maruti Suzuki Baleno,Maruti,8,509999.99999999994,32897,Petrol
226,Mahindra TUV300 T8,Mahindra,8,565000.0,47107,Diesel
227,Maruti Suzuki Alto,Maruti,13,225000.0,76614,Petrol
228,Audi Q3 35,Audi,6,1998999.9999999998,32345,Diesel
229,Jaguar XE Portfolio,Jaguar,6,3775000.0,35491,Diesel
230,Toyota Innova Crysta,Toyota,3,3250000.0,22562,Diesel
231,Maruti Suzuki Ciaz,Maruti,6,745000.0,49908,Diesel
232,MINI Cooper JCW,MINI,3,4400000.0,2482,Petrol
233,Jeep Compass Limited,Jeep,4,2300000.0,9000,Diesel
234,Volkswagen Polo Comfortline,Volkswagen,9,465000.00000000006,27700,Petrol
235,Maruti Suzuki Wagon,Maruti,15,180000.0,49000,Petrol
236,Maruti Suzuki Ignis,Maruti,6,453000.0,12104,Petrol
237,Hyundai Xcent SX,Hyundai,8,534000.0,28646,Petrol
238,Maruti Suzuki Alto,Maruti,10,204999.99999999997,35965,Petrol
239,Mercedes-Benz E-Class E350,Mercedes-Benz,14,1550000.0,64000,Diesel
240,Maruti Suzuki Baleno,Maruti,4,735000.0,5288,Petrol
241,Volvo S60 Kinetic,Volvo,7,1789999.9999999998,90604,Diesel
242,Maruti Suzuki Estilo,Maruti,13,225000.0,68000,Petrol
243,Hyundai i20 Asta,Hyundai,4,850000.0,32243,Petrol
244,Maruti Suzuki Ciaz,Maruti,7,687000.0,33823,Petrol
245,Maruti Suzuki Swift,Maruti,6,538000.0,25412,Petrol
246,BMW 3 Series,BMW,3,5750000.0,22600,Diesel
247,Honda City V,Honda,7,830000.0000000001,56468,Petrol
248,Ford Figo Duratec,Ford,13,240000.0,73000,Petrol
249,Honda City SV,Honda,6,630000.0,24751,Petrol
250,Audi TT 45,Audi,8,4600000.0,9865,Petrol
251,Maruti Suzuki Celerio,Maruti,8,475000.0,29646,Petrol
252,BMW X1 sDrive20d,BMW,7,2175000.0,55000,Diesel
253,Volvo S90 D4,Volvo,4,5900000.0,15446,Diesel
254,Maruti Suzuki Celerio,Maruti,8,445000.0,24595,Petrol
255,Hyundai Creta 1.6,Hyundai,8,998000.0,97761,Diesel
256,Maruti Suzuki Celerio,Maruti,4,565000.0,47000,Petrol
257,Hyundai Grand i10,Hyundai,7,484999.99999999994,66471,Petrol
258,Datsun redi-GO S,Datsun,5,325000.0,37000,Petrol
259,Kia Seltos GTX,Kia,4,1689999.9999999998,28100,Petrol
260,Skoda Octavia Elegance,Skoda,10,799000.0,63000,Diesel
261,Maruti Suzuki Wagon,Maruti,8,430000.0,26600,ecofriendly_fuel
262,Mahindra XUV500 W8,Mahindra,11,575000.0,55105,Diesel
263,Hyundai Eon Era,Hyundai,7,330000.0,42748,Petrol
264,Audi Q7 45,Audi,6,5950000.0,51000,Diesel
265,Audi A6 35,Audi,6,2500000.0,76000,Diesel
266,Hyundai Elite i20,Hyundai,7,613000.0,35247,Petrol
267,Hyundai Elite i20,Hyundai,5,559000.0,30183,Petrol
